# Samples,  Aspect Ratio,  Area,  Rect Area, Extent,  Solidity,  H0,  H1, H2, H3, H4, Goal
1.00000,1.23060,0.06431,0.86245,0.07457,0.11090,0.01140,0.05713,0.20476,0.50672,0.21998,1.00000
2.00000,1.21569,0.00472,0.01029,0.45825,0.92647,0.00000,0.00000,0.00000,0.05218,0.94782,0.00000
3.00000,1.18182,0.00262,0.00745,0.35162,0.62340,0.00000,0.00656,0.05900,0.11407,0.82037,0.00000
4.00000,0.28986,0.00106,0.00449,0.23659,0.73952,0.00000,0.00000,0.07971,0.35652,0.56377,0.00000
5.00000,2.11111,0.00099,0.00223,0.44664,0.70636,0.00000,0.00000,0.01754,0.04971,0.93275,0.00000
6.00000,0.36826,0.09947,0.13373,0.74384,0.89375,0.00000,0.00019,0.00234,0.00421,0.99326,0.00000
7.00000,1.11321,0.03243,0.36645,0.08851,0.19378,0.02482,0.07484,0.12320,0.50155,0.27559,1.00000
8.00000,0.22634,0.01408,0.04351,0.32372,0.69042,0.00000,0.00000,0.00000,0.00262,0.99738,0.00000
9.00000,0.39024,0.00382,0.00854,0.44722,0.68286,0.00000,0.00000,0.01372,0.01715,0.96913,0.00000
10.00000,2.00000,0.00118,0.00235,0.50346,0.77588,0.00000,0.00000,0.01385,0.05817,0.92798,0.00000
11.00000,1.13735,0.58137,0.63763,0.91176,0.95601,0.00000,0.00025,0.00843,0.02530,0.96603,0.00000
12.00000,0.51724,0.00510,0.01274,0.40038,0.81747,0.00000,0.00000,0.00000,0.01252,0.98748,0.00000
13.00000,0.36364,0.00015,0.00057,0.26705,0.48958,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
14.00000,0.57143,0.00002,0.00009,0.26786,0.83333,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
15.00000,2.00000,0.00002,0.00006,0.38889,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
16.00000,0.75303,0.02929,0.41811,0.07005,0.15963,0.00058,0.03088,0.10190,0.55316,0.31349,1.00000
17.00000,0.52344,0.01013,0.02792,0.36281,0.61347,0.00000,0.00198,0.00746,0.23566,0.75490,0.00000
18.00000,1.22000,0.00452,0.00993,0.45557,0.92418,0.00000,0.00000,0.00000,0.06262,0.93738,0.00000
19.00000,1.41176,0.00247,0.00531,0.46477,0.74914,0.00000,0.00000,0.01225,0.07721,0.91054,0.00000
20.00000,2.10000,0.00110,0.00273,0.40119,0.75901,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
